repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state,addline,deleteline,changefile,fetch_status
coder/coder,refactor: redesign workspace status on workspaces table,https://github.com/coder/coder/pull/17425,2025-04-16T14:55:29Z,2025-04-17T13:57:03Z,0,7,MERGED,119,41,6,Success
coder/coder,chore(dogfood): update workspace lifecycle ignore_changes with env and entrypoint,https://github.com/coder/coder/pull/19571,2025-08-27T12:14:46Z,2025-08-27T13:23:44Z,2,2,MERGED,2,0,1,Success
coder/coder,refactor: replace MUI components and refactor styles,https://github.com/coder/coder/pull/18082,2025-05-28T16:26:43Z,2025-05-29T11:27:52Z,0,2,MERGED,8,8,1,Success
coder/coder,feat: use sse for workspace page,https://github.com/coder/coder/pull/4122,2022-09-19T20:22:42Z,2022-09-21T18:32:00Z,4,7,MERGED,141,117,9,Success
coder/coder,Feat: add showAvatar option to User Autocomplete,https://github.com/coder/coder/pull/4269,2022-09-29T20:03:00Z,2022-09-30T13:50:36Z,0,2,MERGED,52,8,3,Success
coder/coder,fix: display banner when no matching templates found,https://github.com/coder/coder/pull/16696,2025-02-25T13:22:10Z,2025-02-25T13:30:50Z,0,1,MERGED,23,1,4,Success
coder/coder,fix: change resource icon colors in the delete modal based on the set theme,https://github.com/coder/coder/pull/16550,2025-02-13T00:04:07Z,2025-02-13T22:41:03Z,0,3,MERGED,6,1,1,Success
contentful/forma-36,[BAU-489] feat: implement a layout grid for the next js website,https://github.com/contentful/forma-36/pull/1619,2021-12-13T14:53:53Z,2021-12-13T15:59:34Z,3,5,MERGED,92,38,4,Success
contentful/forma-36,feat(header): only apply margin left if noWrap is not first child,https://github.com/contentful/forma-36/pull/2772,2024-06-03T10:30:55Z,2024-06-04T14:09:40Z,16,8,CLOSED,10,4,5,Success
contentful/forma-36,Add switch button,https://github.com/contentful/forma-36/pull/158,2019-04-01T15:27:39Z,2019-05-20T11:06:27Z,2,1,MERGED,286,0,8,Success
contentful/forma-36,feat(checkbox): add indeterminate state,https://github.com/contentful/forma-36/pull/790,2021-01-14T12:55:16Z,2021-01-14T13:23:25Z,0,2,MERGED,52,3,7,Success
contentful/forma-36,feat(navigation-icon): add new purchase icon to lib,https://github.com/contentful/forma-36/pull/538,2020-08-17T14:44:01Z,2020-08-18T07:59:25Z,5,1,MERGED,31,21,3,Success
